,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1229242977,0,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-07-06,18:16:02,13204.979999999994,21:56:06,17.75
ID3883556223,1,1,3,-37.8105953,144.9653759,-37.8240593,144.9735177,1961.0,2018-07-10,10:38:25,512.8199999999999,10:46:57,8.18
ID3878470659,1,5,1,-37.805884,144.9366626,-37.8061722,144.9447485,802.0,2018-01-25,06:21:50,193.01999999999998,6:25:03,5.44
ID1453761308,0,8,6,-37.807202,145.0266373,-37.7907967,144.985865,4834.0,2018-06-21,20:17:11,1358.6400000000006,20:39:49,9.88
ID3461516848,1,5,6,-37.8083751,144.9288036,-37.773845,144.9836895,8425.0,2018-05-11,21:47:19,1907.2800000000007,22:19:06,22.07
ID1168363288,0,3,8,-37.8141716,144.9732159,-37.8158343,145.04645,6960.0,2018-05-11,02:57:54,2038.8000000000002,3:31:52,11.49
ID5729635428,2,1,7,-37.8134519,144.9483796,-37.8618349,144.905716,9943.0,2018-06-02,15:04:42,3333.0600000000004,16:00:15,346.35
ID5709323218,2,2,4,-37.8129859,144.9393261,-37.8027583,145.0024573,6369.0,2018-03-21,16:33:58,1657.92,17:01:35,179.54
ID5773126634,2,4,8,-37.8076743,144.9919535,-37.807202,145.0266373,3557.0,2018-07-18,05:26:44,912.1199999999999,5:41:56,116.85
ID1898201239,0,8,1,-37.8158343,145.04645,-37.8023566,144.9577629,8120.0,2018-06-26,05:17:14,2267.2200000000003,5:55:01,13.66
ID3826107418,1,6,8,-37.7907967,144.985865,-37.807202,145.0266373,4834.0,2018-01-23,03:58:16,1358.6400000000003,4:20:54,19.38
ID3621856361,1,2,3,-37.8132018,144.933495,-37.8142655,145.0060671,7920.0,2018-28-02,17:40:26,1961.1000000000004,18:13:07,16.21
ID1857916419,0,8,2,-37.807202,145.0266373,-37.8118268,144.9405883,8392.0,2018-23-04,06:57:26,2129.4599999999987,7:32:55,6.46
ID3877823230,1,4,5,-37.8010408,144.9982112,-37.7996759,144.9274691,6837.0,2018-01-07,03:23:00,1743.3600000000001,3:52:03,25.76
ID3706826274,1,8,2,-37.807202,145.0266373,-37.8140759,144.9396602,8471.0,2018-06-01,02:06:13,2107.439999999999,2:41:20,23.49
ID1412360405,0,9,5,-38.1109156,144.6541725,-37.8114807,144.9278808,44198.0,2018-05-09,06:50:53,10601.639999999996,9:47:34,13.16
ID5657493647,2,1,7,-37.808432,144.9716374,-37.8618349,144.905716,9207.0,2018-04-10,18:47:32,3064.38,19:38:36,314.04
ID1341677139,0,2,7,-37.8139737,144.9356375,-37.8618349,144.905716,10950.0,2018-01-08,04:47:10,3569.6400000000003,5:46:39,12.27
ID3870683357,1,1,3,-37.8076285,144.9581712,-37.8113498,144.9760252,1950.0,2018-07-22,11:23:29,482.46000000000004,11:31:31,12.73
ID1661364703,0,2,6,-37.8142644,144.9379114,-37.7874325,144.9803767,6071.0,2018-06-16,20:23:34,1548.4800000000005,20:49:22,13.47
ID3691195845,1,4,6,-37.8069141,144.998466,-37.7907967,144.985865,2873.0,2018-04-06,19:38:08,839.52,19:52:07,11.59
ID1893852782,0,7,5,-37.8618349,144.905716,-37.7986898,144.9199786,12313.0,2018-01-10,08:47:30,3884.999999999999,9:52:15,7.57
ID3170984864,1,3,8,-37.8117026,144.9829797,-37.8158343,145.04645,5822.0,2018-03-20,13:14:32,1745.2800000000002,13:43:37,15.91
ID1764994408,0,7,1,-37.8618349,144.905716,-37.8190591,144.9542399,8399.0,2018-05-11,15:30:47,2911.259999999999,16:19:18,10.09
ID1177788796,0,3,1,-37.8162002,145.0019613,-37.7995256,144.962149,4760.0,2018-15-01,09:05:14,1218.0000000000005,9:25:32,3.62
ID1855889497,0,2,1,-37.8206792,144.9485253,-37.8064378,144.9557716,2152.0,2018-05-15,21:00:41,524.5200000000002,21:09:25,10.77
ID3851620607,1,9,6,-38.1109156,144.6541725,-37.7874421,144.9804091,47035.0,2018-13-04,02:06:12,11413.020000000008,5:16:25,66.8
ID3697097085,1,4,3,-37.8088324,145.0102526,-37.8187277,145.0056801,1386.0,2018-04-16,03:20:57,354.78,3:26:51,14.52
ID1752653255,0,7,6,-37.8618349,144.905716,-37.7907967,144.985865,11711.0,2018-01-11,18:14:47,3859.799999999998,19:19:06,8.83
ID3574726202,1,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-20-01,11:36:25,12681.060000000005,15:07:46,70.55
ID1650025002,0,3,9,-37.8160839,144.9724101,-38.1109156,144.6541725,44280.0,2018-07-04,05:17:22,10682.759999999998,8:15:24,19.74
ID1437770661,0,6,2,-37.7874325,144.9803767,-37.8128215,144.9431476,5305.0,2018-05-27,17:22:10,1342.4999999999998,17:44:32,14.9
ID1813464112,0,5,2,-37.7992765,144.9351244,-37.820274,144.9495398,3123.0,2018-17-06,19:24:33,726.66,19:36:39,12.68
ID5178414405,2,2,1,-37.8165806,144.9374466,-37.8012673,144.9748159,4231.0,2018-03-15,04:12:45,1147.3200000000004,4:31:52,139.59
ID3940334394,1,4,2,-37.8049521,144.9953579,-37.8238221,144.9405072,6088.0,2018-03-04,01:17:23,1629.960000000001,1:44:32,27.27
ID1337006141,0,2,8,-37.8181022,144.9485729,-37.8158343,145.04645,9169.0,2018-03-11,11:30:34,2533.8,12:12:47,11.77
ID5427240753,2,8,9,-37.807202,145.0266373,-38.1109156,144.6541725,49777.0,2018-06-31,04:23:21,12069.779999999999,7:44:30,1197.24
ID5802555390,2,1,7,-37.8197944,144.9590356,-37.8618349,144.905716,7810.0,2018-03-02,18:26:20,2742.9,19:12:02,283.42
ID3476079766,1,7,6,-37.8618349,144.905716,-37.773845,144.9836895,13169.0,2018-04-31,00:57:18,3863.579999999999,2:01:41,31.28
ID1517950812,0,2,6,-37.8148738,144.9449284,-37.7874421,144.9804091,5168.0,2018-06-02,01:08:11,1373.5800000000002,1:31:04,14.99
ID5342087044,2,7,4,-37.8618349,144.905716,-37.8051531,144.9940216,10974.0,2018-04-16,20:07:33,3614.759999999999,21:07:47,368.35
ID3486814924,1,4,6,-37.8106951,145.0152907,-37.7874421,144.9804091,5819.0,2018-06-31,11:11:39,1479.4199999999996,11:36:18,17.07
ID3552979613,1,6,4,-37.773845,144.9836895,-37.8116447,145.0040335,7021.0,2018-01-25,17:52:52,1546.8000000000004,18:18:38,15.78
ID1265130623,0,4,3,-37.8109494,145.0047234,-37.8188007,144.9721113,3807.0,2018-01-16,01:19:30,985.2000000000003,1:35:55,10.72
ID1317340367,0,1,9,-37.8254649,144.957204,-38.1109156,144.6541725,43059.0,2018-01-23,01:59:19,10421.22,4:53:00,19.64
ID3217023647,1,2,6,-37.824711,144.9456551,-37.7874325,144.9803767,6083.0,2018-02-30,07:25:32,1632.7200000000007,7:52:44,17.75
ID1470062798,0,7,5,-37.8618349,144.905716,-37.8081468,144.9342466,10709.0,2018-06-10,21:27:14,3461.4599999999996,22:24:55,19.13
ID1931089940,0,4,3,-37.8054305,144.9995637,-37.8159533,144.9725343,3680.0,2018-03-10,00:49:43,907.0800000000004,1:04:50,16.86
ID3251114902,1,2,1,-37.8184735,144.9486815,-37.8238612,144.9547995,1367.0,2018-06-22,13:38:20,418.26000000000005,13:45:18,12.63
ID1320550395,0,9,4,-38.1109156,144.6541725,-37.8095744,145.0003204,47024.0,2018-06-31,08:16:44,11389.740000000007,11:26:33,18.2
ID1130292300,0,6,7,-37.7907967,144.985865,-37.8618349,144.905716,11711.0,2018-02-30,03:07:13,3866.9400000000014,4:11:39,13.96
ID1270160095,0,4,2,-37.8136782,145.014032,-37.824369,144.9525705,6442.0,2018-01-19,02:27:01,1619.4600000000016,2:54:00,11.56
ID1417883647,0,7,1,-37.8618349,144.905716,-37.8045777,144.9752311,9760.0,2018-05-08,08:13:29,3169.8599999999988,9:06:18,6.85
ID1322119736,0,9,3,-38.1109156,144.6541725,-37.8242834,144.9693073,44379.0,2018-04-31,21:55:11,10815.299999999994,0:55:26,25.12
ID3991416802,1,9,4,-38.1109156,144.6541725,-37.8168137,145.0088002,47682.0,2018-06-31,11:20:20,11469.9,14:31:29,57.83
ID1969406565,0,6,2,-37.773845,144.9836895,-37.8224018,144.9373722,8326.0,2018-06-15,10:05:32,1915.1400000000012,10:37:27,8.41
ID1465476137,0,2,6,-37.81355,144.9377795,-37.7874421,144.9804091,6161.0,2018-01-07,23:02:08,1569.9600000000005,23:28:17,17.45
ID3605089966,1,7,6,-37.8618349,144.905716,-37.7738026,144.9836466,16033.0,2018-04-31,15:07:52,5320.6799999999985,16:36:32,36.83
ID3702185350,1,4,9,-37.8150906,145.0060096,-38.1109156,144.6541725,47546.0,2018-05-07,13:41:42,11406.24,16:51:48,62.63
ID5112924395,2,4,9,-37.8021186,145.0040973,-38.1109156,144.6541725,47847.0,2018-04-31,08:24:47,11585.64,11:37:52,1124.48
ID1927192366,0,3,7,-37.8248651,145.007333,-37.8618349,144.905716,11041.0,2018-01-04,23:48:23,3400.68,0:45:03,13.03
ID1601619418,0,7,1,-37.8618349,144.905716,-37.8208377,144.9666228,7514.0,2018-01-05,13:10:33,2653.3799999999987,13:54:46,10.61
ID1657982376,0,6,8,-37.7738026,144.9836466,-37.8158343,145.04645,13562.0,2018-07-04,20:16:47,4213.5599999999995,21:27:00,10.52
ID3525197163,1,1,6,-37.8177259,144.9662799,-37.7874421,144.9804091,3999.0,2018-03-25,06:54:51,1000.26,7:11:31,13.44
ID1248161423,0,9,6,-38.1109156,144.6541725,-37.773845,144.9836895,48197.0,2018-05-23,22:40:17,11495.340000000007,1:51:52,20.42
ID3258286619,1,8,4,-37.8158343,145.04645,-37.8167483,145.0074769,4003.0,2018-02-14,05:08:50,1308.7800000000002,5:30:38,18.56
ID5310597409,2,8,1,-37.8158343,145.04645,-37.8049913,144.94188,9393.0,2018-03-07,03:10:08,2684.3999999999987,3:54:52,287.36
ID3229911875,1,6,3,-37.7874421,144.9804091,-37.8231295,144.9890952,4994.0,2018-05-22,05:30:22,1110.06,5:48:52,18.66
ID1474950708,0,6,8,-37.7908183,144.9857929,-37.8158343,145.04645,7471.0,2018-05-09,04:16:51,2192.7000000000003,4:53:23,13.49
ID1177723460,0,6,2,-37.7874421,144.9804091,-37.8162262,144.9382806,5960.0,2018-07-21,11:58:29,1571.2200000000003,12:24:40,10.28
ID3229607620,1,1,9,-37.8135314,144.9740685,-38.1109156,144.6541725,44361.0,2018-05-11,01:40:52,10615.02,4:37:47,63.06
ID1311723888,0,5,4,-37.8065033,144.9322127,-37.805541,144.9979373,6384.0,2018-04-03,17:35:07,1657.5,18:02:44,10.39
ID1634763610,0,9,4,-38.1109156,144.6541725,-37.8053578,144.9995589,47657.0,2018-02-17,12:50:23,11551.140000000001,16:02:54,22.71
ID5939069061,2,8,4,-37.807202,145.0266373,-37.8075831,145.0003194,3273.0,2018-01-22,18:38:02,822.9000000000001,18:51:44,98.73
ID3249920759,1,4,1,-37.8083022,145.0002078,-37.8161714,144.9640777,3879.0,2018-05-18,18:34:22,969.2999999999998,18:50:31,15.38
ID1834021513,0,8,6,-37.8158343,145.04645,-37.7738026,144.9836466,13562.0,2018-04-03,06:48:52,4192.259999999999,7:58:44,9.36
ID3191753814,1,5,6,-37.8021655,144.9289411,-37.7874421,144.9804091,6535.0,2018-05-20,00:22:36,1707.0600000000004,0:51:03,25.9
ID1594107464,0,3,8,-37.823097,144.973591,-37.807202,145.0266373,6542.0,2018-07-21,05:34:05,1620.42,6:01:05,16.64
ID1451305323,0,5,4,-37.8070674,144.9376258,-37.8167697,145.0071835,6993.0,2018-07-02,00:46:31,1747.9799999999996,1:15:38,13.15
ID5579313670,2,6,1,-37.7874325,144.9803767,-37.8197216,144.9691629,4215.0,2018-03-28,10:47:58,1083.6000000000006,11:06:01,116.9
ID5873092167,2,7,6,-37.8618349,144.905716,-37.7874421,144.9804091,11630.0,2018-04-04,08:52:55,3678.539999999999,9:54:13,363.46
ID1363745681,0,3,4,-37.8204832,144.9771527,-37.8098434,145.0159266,4818.0,2018-07-10,07:06:09,1197.7800000000002,7:26:06,3.69
ID5497449109,2,8,3,-37.807202,145.0266373,-37.8202117,144.9777365,6183.0,2018-01-20,02:53:47,1540.2000000000005,3:19:27,184.85
ID1163530797,0,4,2,-37.8010135,144.9887015,-37.8243004,144.9369768,6238.0,2018-06-01,04:06:24,1671.8400000000006,4:34:15,13.24
ID5966515090,2,9,5,-38.1109156,144.6541725,-37.8084564,144.9382217,43119.0,2018-07-10,16:59:54,10341.719999999996,19:52:15,1015.33
ID1673417991,0,7,6,-37.8618349,144.905716,-37.7738026,144.9836466,16033.0,2018-01-05,13:00:03,5320.6799999999985,14:28:43,10.37
ID1863643170,0,3,7,-37.8271233,144.9851161,-37.8618349,144.905716,9014.0,2018-05-28,06:49:10,3042.36,7:39:52,6.35
ID3556020586,1,3,5,-37.8406925,144.9930568,-37.8045393,144.9281603,7792.0,2018-03-03,15:08:22,2397.6600000000003,15:48:19,25.55
ID1287230113,0,7,4,-37.8618349,144.905716,-37.8095744,145.0003204,11162.0,2018-04-23,15:10:49,3623.8199999999974,16:11:12,9.75
ID1641627617,0,3,6,-37.814141,144.9918918,-37.773845,144.9836895,6545.0,2018-07-25,07:11:58,1427.4,7:35:45,4.72
ID1144013790,0,9,2,-38.1109156,144.6541725,-37.8241548,144.9439123,42451.0,2018-02-28,14:22:30,10204.799999999996,17:12:34,14.7
ID1278774241,0,4,2,-37.810568,145.0159907,-37.8134499,144.9369846,7823.0,2018-05-10,23:48:51,1956.6599999999987,0:21:27,14.84
ID3292370356,1,6,5,-37.7874421,144.9804091,-37.8056849,144.9280772,6846.0,2018-03-14,00:10:22,1838.8799999999999,0:41:00,22.64
ID1751269111,0,5,1,-37.7994758,144.9368155,-37.7989639,144.9517413,1473.0,2018-02-15,13:35:06,428.70000000000005,13:42:14,9.19
ID1674268574,0,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-03-20,08:33:43,4917.479999999999,9:55:40,7.39
ID5622953042,2,3,6,-37.8272599,144.9816629,-37.7874325,144.9803767,5176.0,2018-07-16,11:56:08,1244.16,12:16:52,130.91
ID1514599162,0,2,1,-37.8221859,144.9498976,-37.8010832,144.9510003,2900.0,2018-01-01,12:03:33,739.0800000000002,12:15:52,7.95
ID5985975754,2,8,9,-37.807202,145.0266373,-38.1109156,144.6541725,49777.0,2018-06-24,04:15:11,12069.779999999999,7:36:20,1195.76
ID3433262996,1,8,5,-37.8158343,145.04645,-37.7882653,144.9292018,12087.0,2018-01-21,01:41:42,3454.6799999999985,2:39:16,34.72
ID1457753063,0,5,7,-37.8052299,144.9369713,-37.8618349,144.905716,10702.0,2018-03-02,21:59:18,3480.5400000000004,22:57:18,13.03
ID1655401419,0,8,5,-37.8158343,145.04645,-37.8029536,144.936477,10309.0,2018-02-11,15:59:03,2900.7599999999984,16:47:23,13.23
ID1314191774,0,2,9,-37.8223938,144.9487416,-38.1109156,144.6541725,42054.0,2018-03-13,15:28:14,10102.199999999999,18:16:36,14.25
ID3551807721,1,2,9,-37.8255234,144.9482495,-38.1109156,144.6541725,42293.0,2018-01-28,12:57:11,10164.3,15:46:35,61.05
ID5365761825,2,3,1,-37.8176644,144.9705281,-37.81698,144.9574679,1469.0,2018-01-21,17:53:24,375.72000000000014,17:59:39,63.78
ID5639834975,2,8,4,-37.8158343,145.04645,-37.7979967,145.0009341,5287.0,2018-01-20,16:12:00,1603.8000000000004,16:38:43,183.07
ID3923758684,1,7,4,-37.8618349,144.905716,-37.8026105,145.0005186,11795.0,2018-05-14,18:25:59,3823.199999999998,19:29:42,27.33
ID1207286388,0,7,8,-37.8618349,144.905716,-37.8158343,145.04645,15151.0,2018-04-27,19:58:41,4911.599999999998,21:20:32,11.51
ID3587333731,1,3,8,-37.8204588,144.976857,-37.8158343,145.04645,7212.0,2018-01-08,13:41:37,2113.86,14:16:50,17.04
ID3636573161,1,8,4,-37.807202,145.0266373,-37.8007446,145.0036389,2785.0,2018-05-07,18:47:09,749.6999999999999,18:59:38,12.98
ID1610425590,0,6,8,-37.7738026,144.9836466,-37.807202,145.0266373,11470.0,2018-02-05,07:06:47,3452.8199999999997,8:04:19,8.66
ID5196220800,2,6,1,-37.7908183,144.9857929,-37.8174768,144.9610686,4533.0,2018-02-19,20:18:35,1115.2800000000004,20:37:10,128.74
ID1545584574,0,1,9,-37.8057862,144.9492164,-38.1109156,144.6541725,43290.0,2018-02-02,15:20:00,10411.199999999999,18:13:31,17.81
ID5595003231,2,2,5,-37.8209994,144.9431659,-37.8045393,144.9281603,3102.0,2018-06-27,01:20:17,837.72,1:34:14,110.36
ID1862558846,0,6,1,-37.7874421,144.9804091,-37.8147542,144.9376992,5840.0,2018-06-13,23:06:21,1475.6999999999996,23:30:56,11.21
ID5566224299,2,1,2,-37.8002006,144.9463261,-37.8134041,144.9385073,2615.0,2018-06-02,20:15:12,665.3400000000001,20:26:17,90.49
ID1908561518,0,1,8,-37.806056,144.9676652,-37.8158343,145.04645,7153.0,2018-06-01,07:03:02,2106.66,7:38:08,6.18
ID3334429882,1,9,4,-38.1109156,144.6541725,-37.7995341,144.9999076,47673.0,2018-06-04,23:11:05,11548.680000000006,2:23:33,68.26
ID3258921103,1,2,5,-37.8239708,144.9438094,-37.7996716,144.9370344,3730.0,2018-03-24,09:18:28,854.8800000000001,9:32:42,13.57
ID3449672650,1,5,4,-37.8035896,144.9387291,-37.8047418,145.0110667,7484.0,2018-07-16,03:28:34,1909.7400000000002,4:00:23,23.45
ID3346538143,1,8,5,-37.807202,145.0266373,-37.8055238,144.9283682,9930.0,2018-05-20,17:47:42,2590.319999999999,18:30:52,25.99
ID3743459469,1,3,1,-37.8250646,144.9925445,-37.8014794,144.9768469,3473.0,2018-02-24,04:56:45,912.0600000000002,5:11:57,21.77
ID1975281986,0,2,7,-37.8192538,144.9422159,-37.8618349,144.905716,9651.0,2018-05-27,03:12:44,3325.38,4:08:09,18.44
ID5512723001,2,1,3,-37.811487,144.9724283,-37.8138551,144.9788642,834.0,2018-03-06,13:37:30,220.01999999999998,13:41:10,43.1
ID3714835344,1,2,3,-37.8117547,144.9361055,-37.8134021,144.9739325,3986.0,2018-07-21,10:47:59,994.5600000000002,11:04:33,14.21
